ellisbrospecans,werenuts.com,1,1000000,Food/Pecans,1 retail store Vienna GA. 1 × 2000sqft × $500 food × 1.0 = $1M.
"Au Courant Interiors",aucourant-interiors.com,0,,Luxury home decor,"Online-only. Sells chandeliers and home decor. Wholesale available but also retail. No physical brand-owned stores."
Highbury Furnishings,www.highburyfurnishings.com,0,,Furniture,Online-only furniture. Sells via website and Wayfair. No physical retail locations.
GS,goatcamisetas.com,0,,Apparel,"Online-only. Domain not clearly identified in search. No brand-owned retail locations found."
BraceOne,braceone.com,0,,Unknown,Website not found in search. No retail information available.
Gesswein Canada,gesswein.ca,0,,Jewelry/dental tools,"PROHIBITED: Wholesale-only B2B supplier of jewelry and dental tools. Sells to professionals not consumers."
GiftShire,www.giftshire.com,0,,Personalized gifts,Online-only personalized gifts. No physical retail locations.
DesignRepublic,www.mydesignrepublic.com,1,1050000,Furniture,1 store at The Well Toronto. 1 × 2000sqft × $525 general × 1.0 = $1.05M.
LEEHANTON,leehanton.com,0,,Apparel,Website not found in search. No retail information available.
"Gennaro's",www.gennarocoffeeco.com,2,1500000,Food/Coffee,"2 cafes Windsor ON and Farmington Hills MI. 2 × 1500sqft × $500 food × 1.0 = $1.5M."
Woodhaven,woodhaven.com,0,,Woodworking tools,"Online-only woodworking tools manufacturer. Durant IA. No physical retail."
ELLA BOUTIQUE,ellaboutiquemiami.com,1,1050000,Apparel,1 boutique Coconut Grove Miami. 1 × 1500sqft × $700 apparel × 1.0 = $1.05M.
Phase 5 Wakesurf Boards,www.phase5boards.com,0,,Wakesurf boards,"Online-only. Sells through website and dealers. No brand-owned retail."
Cleure,www.cleure.com,0,,Skincare,Online-only fragrance-free skincare. No physical retail locations.
LifeAtCrunchyroll Shop,lifeatcrunchyroll.shop,0,,Anime merchandise,Internal/employee merchandise shop. No public retail locations found.
Hale Cosmeceuticals Inc,partner.halecosmeceuticals.com,0,,Skincare,"PROHIBITED: Wholesale-only B2B partner portal. Sells to professionals not consumers."
Back Breaker Records,backbreakerrecords.com,0,,Vinyl records,"Online-only vinyl retailer. Metal/thrash records. No physical retail."
Dur,durpets.com,0,,Pet toys,"Online-only. DUR recycled pet toys. No brand-owned retail found."
Run It Back Nashville,runitbacknashville.com,2,3150000,Apparel/Sneakers,"2 sneaker boutiques Nashville and Murfreesboro TN. 2 × 1500sqft × $700 apparel × 1.5 high traffic = $3.15M."
Olodge,olodge.ca,1,1050000,Outdoor apparel/equipment,"1 store St-Sauveur Quebec. Outdoor gear and bikes. 1 × 2000sqft × $525 general × 1.0 = $1.05M."
Nations Boutique,nationsboutique.com,0,,Women's apparel,Online-only women's clothing boutique. No physical retail.
Sapere Aude Inc,www.sapereaudeinc.com,0,,Beauty/collectibles,"PROHIBITED: Sells sex toys and adult products. Pornography category."
wmnblack,wmnblack.com,0,,Women's apparel,Online-only women's clothing. No physical retail.
AutoSock US,autosock.us,0,,Tire traction devices,"Online-only. Textile snow chains. No brand-owned retail."
The Drawing Center,shop.drawingcenter.org,1,787500,Museum gifts/art,1 bookstore NYC Wooster St. 1 × 1500sqft × $525 general × 1.0 = $787.5K.
Lilac Lane Children's Boutique,lilaclaneboutique.com,1,735000,Children's apparel,1 boutique Williston ND. 1 × 1500sqft × $700 apparel × 0.7 low traffic = $735K.
MAISON WHEAT,maisonwheat.com,0,,Apparel,Online-only casual luxury apparel. No physical retail.
Toucan Smart Home,toucansmarthome.com,0,,Smart home security,Online-only security cameras and doorbells. No physical retail.
Forestwest CA,www.forestwest.ca,3,3150000,Tools/machinery,"3 locations Ontario showroom Montreal Vancouver. 3 × 2000sqft × $525 general × 1.0 = $3.15M."
Omax3,omaxstore.myshopify.com,0,,Supplements,"PROHIBITED: Sells CBD products. Cannabis/CBD category."
ricewatergirl LLC,ricewatergirl.com,0,,Hair care,Online-only fermented rice water hair products. No physical retail.
little lopers,www.littlelopers.com,1,735000,Children's apparel,1 location Edmond OK local pickup. 1 × 1500sqft × $700 apparel × 0.7 low = $735K.
AURA DI MILANO,auradimilano.com,0,,Jewelry/watches,"Online-only. Jewelry and watches. No physical retail found."
DESIGNME Hair,designmehair.com,0,,Hair care,Professional hair care sold through salons and online. No brand-owned retail stores.
Hardhatgear,hardhatgear.com,0,,Construction safety,"Online-only PPE and construction equipment. No physical retail."
