SLEEP By SANTI,sleepbysanti.co,0,,Bedding/home textiles,Online-only DTC bedding pillows blankets. No brand-owned retail locations found.
Sweet P Baby Co.,sweetpbabyco.com,0,,Children's apparel,Bamboo children's clothing pajamas. Online-only. Sells through select partners. No brand-owned retail.
Quinta Semente,www.quintasemente.com.br,0,,Natural foods,PROHIBITED: Wholesale-only. Brazilian importer wholesaler distributor. Serves supermarkets food service. No brand-owned retail.
equipescaweb,equipesca.com,0,,Unknown,Company/website not found in search. No retail information available.
Pinkys Waxing Strips,pinkysonline.com,0,,Beauty/salon supplies,Online-only professional waxing strips and rolls. Salon/spa supplies. No brand-owned retail.
Darko US,darkoband.com,0,,Music/merchandise,Online-only vinyl records and band merchandise. No physical retail locations.
Enda Kenya,ke.endasportswear.com,1,1400000,Apparel/Sportswear,1 brand-owned store Village Market Nairobi. 1 × 2000sqft × $700 apparel × 1.0 traffic.
H2O Capsule,www.h2ocapsule.com,0,,Hydration/accessories,Online-only water bottles. Sells via website Amazon Walmart. No brand-owned retail.
Insert Name Here,inhhair.com,0,,Hair extensions/accessories,Online-only hair brand. Sells through Ulta and Amazon. No brand-owned retail.
Barbara Anne's Jewelry,barbaraannesjewelry.com,1,1875000,Jewelry,1 store 480 W Dearborn St Englewood FL. Boutique 1500sqft × $1250 jewelry × 1.0 traffic.
parfumexquis,parfumexquis.com,2,1575000,Perfume/fragrance,2 locations Montreal and Brooklyn. Niche perfume boutique. 2 × 1500sqft × $525 general × 1.0 traffic.
grown&sewn,www.grownandsewn.com,1,1050000,Apparel/Menswear,1 flagship store 145 Columbia St Brooklyn NY. American menswear. Boutique 1500sqft × $700 apparel × 1.0 traffic.
Ethos Group Marketplace,marketplace.ethosgroup.com,0,,Unknown,Marketplace URL not found. Ethos brand encompasses insurance AWS tools. No retail marketplace identified.
Marche aux fleurs du village,d8kzsa-jj.myshopify.com,0,,Flowers/gifts,Shopify store not indexed. Flower market name. No retail information found.
Mezuzah Store,mezuzahstore.com,0,,Religious/Jewish items,Online-only mezuzahs and Jewish doorpost scrolls. No physical retail.
GALLEON,www.galleonwines.ca,0,,Wine,Online wine boutique. Pickup at SAQ locations. No brand-owned retail stores.
tectonic-USA,tectonic-usa.com,0,,Unknown,Domain not found in search. No retail information.
ooakshell inc,ooakshell.com,0,,Accessories/headbands,Online-only artful headbands. Shark Tank brand. No physical retail.
The Renovation Depot,therenovationdepot.myshopify.com,0,,Home improvement,Online-only appliances cabinets flooring. Discount home renovation. No brand-owned retail.
Messy by Alli Webb,itsmessy.com,0,,Hair care,Online and Sephora. Drybar founder's hair brand. No brand-owned retail.
Brunswick Bowling Products,brunswickbowling.myshopify.com,0,,Bowling equipment,Ordering portal for advisory staff. Sells through pro shops. No brand-owned retail.
FLOOF,floofslippers.com,0,,Slippers/footwear,Site under construction. Redirects to heelboy.com. No retail locations.
Fablelistik Editions,fablelistikeditions.com,0,,Books/publishing,Online-only limited edition fine press books. No physical retail.
Mac + White Boutique,mac-white-boutique.myshopify.com,0,,Apparel,Shopify boutique. Limited search results. No brand-owned retail found.
Canna Wellness,cannawellnessusa.com,0,,CBD/Hemp,PROHIBITED: CBD and hemp products retailer. Alpharetta GA. Cannabis/CBD category ineligible.
